Epoch,Training_Error
283,0.00817105
284,0.00813601
285,0.00810125
286,0.00806678
287,0.00803259
288,0.00799868
289,0.00796504
290,0.00793168
291,0.00789858
292,0.00786574
293,0.00783317
294,0.00780086
295,0.00776880
296,0.00773700
297,0.00770544
298,0.00767414
299,0.00764307
300,0.00761225
301,0.00758167
302,0.00755132
303,0.00752120
304,0.00749132
305,0.00746166
306,0.00743222
307,0.00740301
308,0.00737402
309,0.00734525
310,0.00731670
311,0.00728835
312,0.00726022
313,0.00723229
314,0.00720457
315,0.00717706
316,0.00714974
317,0.00712263
318,0.00709571
319,0.00706899
320,0.00704246
321,0.00701612
322,0.00698997
323,0.00696401
324,0.00693823
325,0.00691263
326,0.00688722
327,0.00686198
328,0.00683693
329,0.00681204
330,0.00678733
331,0.00676280
332,0.00673843
333,0.00671423
334,0.00669020
335,0.00666633
336,0.00664263
337,0.00661909
338,0.00659571
339,0.00657248
340,0.00654941
341,0.00652650
342,0.00650374
343,0.00648114
344,0.00645868
345,0.00643638
346,0.00641422
347,0.00639221
348,0.00637034
349,0.00634862
350,0.00632703
