Iteration,Training_Error
399,0.24673014
400,0.16973829
401,0.13587673
402,0.15477468
403,1.00412482
404,1.02236908
405,0.41668401
406,1.09403361
407,1.09441466
408,1.12372278
409,0.15365272
410,0.16767464
411,0.14115699
412,0.14938841
413,0.28531679
414,0.16579324
415,0.31384718
416,0.32929425
417,0.12094236
418,0.17400189
419,0.16355373
420,0.08427291
421,0.64726618
422,0.40892057
423,0.22103218
424,0.16245939
425,0.13020942
426,0.14942754
427,0.98125217
428,1.00433578
429,0.36985285
430,1.08912812
431,1.08997374
432,1.11795943
433,0.12827274
434,0.14379521
435,0.12436174
436,0.13927666
437,0.26290528
438,0.15335331
439,0.30081369
440,0.31214089
441,0.11474568
442,0.15888937
443,0.15146828
444,0.07861119
445,0.60722877
446,0.36808724
447,0.19919687
448,0.15581449
449,0.12492497
450,0.14452865
451,0.95641971
452,0.98427608
453,0.32923591
454,1.08386783
455,1.08553976
456,1.11163880
457,0.10919830
458,0.12586738
459,0.11092008
460,0.13076565
461,0.24312057
462,0.14306087
463,0.28852178
464,0.29581618
465,0.10923933
466,0.14553429
467,0.14005936
468,0.07371610
469,0.56851340
470,0.33090968
471,0.18082372
472,0.14975024
473,0.11999880
474,0.14004497
475,0.92959634
476,0.96195243
477,0.29426829
478,1.07861693
479,1.08133908
480,1.10522524
481,0.09466294
482,0.11208959
483,0.09989806
484,0.12365263
485,0.22569064
486,0.13458469
487,0.27704820
488,0.28029217
489,0.10433805
490,0.13360696
491,0.12937790
492,0.06954899
493,0.53184410
494,0.29783284
495,0.16541580
496,0.14421003
497,0.11541562
498,0.13592595
499,0.90068683
500,0.93709848
501,0.26408128
502,1.07359408
503,1.07751367
504,1.09901883
505,0.08341365
506,0.10124916
507,0.09070710
508,0.11778635
509,0.21037018
510,0.12766637
511,0.26645496
512,0.26561305
513,0.09997761
514,0.12297664
515,0.11956346
516,0.06602995
517,0.49773987
518,0.26890203
519,0.15248273
520,0.13913314
521,0.11116216
522,0.13211627
523,0.86957669
524,0.90945996
525,0.23788415
526,1.06890504
527,1.07412162
528,1.09318049
529,0.07456631
530,0.09253207
531,0.08295026
532,0.11304649
533,0.19693053
534,0.12210849
535,0.25677521
536,0.25186121
537,0.09610817
538,0.11361509
539,0.11075140
540,0.06305603
541,0.46651489
542,0.24389635
543,0.14158563
544,0.13445783
545,0.10722109
546,0.12856337
547,0.83619511
548,0.87885894
549,0.21506602
550,1.06457861
551,1.07115265
552,1.08776947
553,0.06749362
554,0.08538390
555,0.07634161
556,0.10932869
557,0.18515992
558,0.11775488
559,0.24800857
560,0.23911514
561,0.09268743
562,0.10549005
563,0.10299747
564,0.06051797
565,0.43827814
566,0.22244210
567,0.13234881
568,0.13012452
569,0.10356658
570,0.12522129
571,0.80058694
572,0.84527803
573,0.19517740
574,1.06059384
575,1.06854323
576,1.08277459
577,0.06174535
578,0.07941722
579,0.07066375
