Epoch,Training_Error
262,0.00814721
263,0.00811052
264,0.00807415
265,0.00803809
266,0.00800233
267,0.00796689
268,0.00793174
269,0.00789689
270,0.00786233
271,0.00782806
272,0.00779408
273,0.00776038
274,0.00772696
275,0.00769382
276,0.00766095
277,0.00762834
278,0.00759600
279,0.00756393
280,0.00753211
281,0.00750055
282,0.00746924
283,0.00743818
284,0.00740737
285,0.00737681
286,0.00734648
287,0.00731640
288,0.00728655
289,0.00725693
290,0.00722754
291,0.00719838
292,0.00716945
293,0.00714074
294,0.00711225
295,0.00708397
296,0.00705591
297,0.00702807
298,0.00700043
299,0.00697300
300,0.00694578
301,0.00691876
302,0.00689194
303,0.00686532
304,0.00683890
305,0.00681267
306,0.00678664
307,0.00676079
308,0.00673514
309,0.00670967
310,0.00668438
311,0.00665928
312,0.00663435
313,0.00660961
314,0.00658504
315,0.00656064
316,0.00653642
317,0.00651237
318,0.00648849
319,0.00646478
320,0.00644123
321,0.00641785
322,0.00639463
323,0.00637157
324,0.00634867
325,0.00632592
326,0.00630334
327,0.00628090
328,0.00625862
329,0.00623649
330,0.00621451
331,0.00619268
332,0.00617099
333,0.00614945
334,0.00612806
335,0.00610680
336,0.00608569
337,0.00606472
338,0.00604388
339,0.00602319
340,0.00600262
341,0.00598220
342,0.00596190
343,0.00594174
344,0.00592170
345,0.00590180
346,0.00588202
347,0.00586237
348,0.00584285
349,0.00582345
350,0.00580418
